annee,code,Qualite,NOM_REGION,Production_totale,Production_nucleaire,Production_thermique_totale,Production_hydraulique,Production_eolien,Production_solaire,Production_bioernergies,Consommation_totale,Grande_industrie_PME_PMI,Energie_industrie_agriculture,Chime_parachimie,Construction_automobile,Metallurgie_mecanique,Mineraux_materiaux,Papier_carton,Siderurgie,Autres_industries,Excedent_Deficit
2014,27,Donn̩es d̩finitives,Bourgogne-Franche-Comt̩,0,0,0,0,0,0,0,19,10,6,1,0,1,0,0,0,1,-19
2014,53,Donn̩es d̩finitives,Bretagne,1,0,0,0,1,0,0,14,9,5,0,0,0,0,0,0,0,-13
2014,24,Donn̩es d̩finitives,Centre-Val de Loire,78,77,0,0,1,0,0,12,8,4,0,0,0,0,0,,0,66
2014,44,Donn̩es consolid̩es,Grand-Est,102,85,6,8,3,0,0,52,24,17,2,1,2,1,2,1,2,50
2014,32,Donn̩es d̩finitives,Hauts-de-France,41,34,4,0,3,0,0,66,31,22,2,0,6,1,0,3,1,-25
2014,11,Donn̩es d̩finitives,Ile-de-France,3,0,2,0,0,0,1,48,37,8,0,0,1,0,0,1,1,-45
2014,28,Donn̩es d̩finitives,Normandie,75,72,2,0,1,0,0,27,14,10,3,0,0,0,0,0,0,48
2014,75,Donn̩es d̩finitives,Nouvelle-Aquitaine,48,42,0,4,0,1,1,32,17,10,1,0,1,1,1,0,1,16
2014,76,Donn̩es d̩finitives,Occitanie,29,14,0,12,2,1,0,20,13,6,0,0,1,0,0,0,0,9
2014,93,Donn̩es d̩finitives,PACA,15,0,3,11,0,1,0,33,18,10,4,0,0,0,0,1,0,-18
2014,52,Donn̩es d̩finitives,Pays-de-la-Loire,4,0,3,0,1,0,0,21,12,7,0,0,1,0,0,0,1,-17
2015,84,Donn̩es d̩finitives,Auvergne-Rh̫ne-Alpes,118,90,2,26,0,0,0,72,36,21,3,0,6,1,0,2,3,46
2015,27,Donn̩es d̩finitives,Bourgogne-Franche-Comt̩,0,0,0,0,0,0,0,20,11,6,1,0,1,0,0,0,1,-20
2015,53,Donn̩es d̩finitives,Bretagne,1,0,0,0,1,0,0,14,9,5,0,0,0,0,0,0,0,-13
2015,24,Donn̩es d̩finitives,Centre-Val de Loire,80,79,0,0,1,0,0,12,8,4,0,0,0,0,0,,0,68
2015,44,Donn̩es consolid̩es,Grand-Est,105,85,7,8,5,0,0,51,24,17,2,1,2,1,2,1,1,54
2015,32,Donn̩es d̩finitives,Hauts-de-France,46,37,5,0,4,0,0,65,30,22,2,0,6,1,0,3,1,-19
2015,11,Donn̩es d̩finitives,Ile-de-France,3,0,2,0,0,0,1,47,37,8,0,0,1,0,0,0,1,-44
2015,28,Donn̩es d̩finitives,Normandie,68,64,3,0,1,0,0,28,15,10,3,0,0,0,0,0,0,40
2015,75,Donn̩es d̩finitives,Nouvelle-Aquitaine,45,40,0,3,0,1,1,31,17,10,1,0,1,0,1,0,1,14
2015,76,Donn̩es d̩finitives,Occitanie,31,18,0,10,2,1,0,21,14,6,0,0,1,0,0,0,0,10
2015,93,Donn̩es d̩finitives,PACA,16,0,6,9,0,1,0,34,19,10,4,0,0,0,0,1,0,-18
2015,52,Donn̩es d̩finitives,Pays-de-la-Loire,4,0,3,0,1,0,0,21,12,7,0,0,1,0,0,0,1,-17
2016,84,Donn̩es d̩finitives,Auvergne-Rh̫ne-Alpes,104,74,2,28,0,0,0,73,36,22,3,0,6,1,0,2,3,31
2016,27,Donn̩es d̩finitives,Bourgogne-Franche-Comt̩,0,0,0,0,0,0,0,20,11,6,1,0,1,0,0,0,1,-20
2016,53,Donn̩es d̩finitives,Bretagne,1,0,0,0,1,0,0,14,9,5,0,0,0,0,0,0,0,-13
2016,24,Donn̩es d̩finitives,Centre-Val de Loire,76,75,0,0,1,0,0,12,8,4,0,0,0,0,0,0,0,64
2016,44,Donn̩es consolid̩es,Grand-Est,105,82,10,9,4,0,0,52,24,17,2,1,2,1,2,1,2,53
2016,32,Donn̩es d̩finitives,Hauts-de-France,43,31,8,0,4,0,0,65,30,22,2,0,6,1,0,3,1,-22
2016,11,Donn̩es d̩finitives,Ile-de-France,3,0,2,0,0,0,1,46,37,7,0,0,1,0,0,0,1,-43
2016,28,Donn̩es d̩finitives,Normandie,63,57,5,0,1,0,0,27,14,10,3,0,0,0,0,0,0,36
2016,75,Donn̩es d̩finitives,Nouvelle-Aquitaine,48,42,0,3,0,2,1,31,18,9,1,0,1,0,1,0,1,17
2016,76,Donn̩es d̩finitives,Occitanie,33,19,0,11,2,1,0,21,14,6,0,0,1,0,0,0,0,12
2016,93,Donn̩es d̩finitives,PACA,19,0,9,9,0,1,0,32,18,9,4,0,0,0,0,1,0,-13
2016,52,Donn̩es d̩finitives,Pays-de-la-Loire,5,0,4,0,1,0,0,21,12,7,0,0,1,0,0,0,1,-16
2017,84,Donn̩es d̩finitives,Auvergne-Rh̫ne-Alpes,105,79,2,23,1,0,0,73,36,22,3,0,6,1,0,2,3,32
2017,27,Donn̩es d̩finitives,Bourgogne-Franche-Comt̩,1,0,0,0,1,0,0,20,11,6,1,0,1,0,0,0,1,-19
2017,53,Donn̩es d̩finitives,Bretagne,1,0,0,0,1,0,0,15,10,5,0,0,0,0,0,0,0,-14
2017,24,Donn̩es d̩finitives,Centre-Val de Loire,75,74,0,0,1,0,0,12,8,4,0,0,0,0,0,0,0,63
2017,44,Donn̩es consolid̩es,Grand-Est,101,76,12,8,5,0,0,51,24,17,2,0,2,1,2,1,2,50
2017,32,Donn̩es d̩finitives,Hauts-de-France,48,31,11,0,5,0,1,66,31,22,2,0,6,1,0,3,1,-18
2017,11,Donn̩es d̩finitives,Ile-de-France,3,0,2,0,0,0,1,45,36,7,0,0,1,0,0,0,1,-42
2017,28,Donn̩es d̩finitives,Normandie,59,53,5,0,1,0,0,27,14,10,3,0,0,0,0,0,0,32
2017,75,Donn̩es d̩finitives,Nouvelle-Aquitaine,52,45,1,2,1,2,1,31,18,9,1,0,1,0,1,0,1,21
2017,76,Donn̩es d̩finitives,Occitanie,31,17,0,9,3,2,0,21,14,6,0,0,1,0,0,0,0,10
2017,93,Donn̩es d̩finitives,PACA,18,0,9,7,0,1,1,32,18,9,4,0,0,0,0,1,0,-14
2017,52,Donn̩es d̩finitives,Pays-de-la-Loire,7,0,6,0,1,0,0,21,12,7,0,0,1,0,0,0,1,-14
