annee,code,region,type,production
2014,75,Nouvelle-Aquitaine,Production_bioernergies,1
2014,76,Occitanie,Production_bioernergies,0
2014,93,PACA,Production_bioernergies,0
2014,52,Pays-de-la-Loire,Production_bioernergies,0
2015,84,Auvergne-Rhône-Alpes,Production_bioernergies,0
2015,27,Bourgogne-Franche-Comté,Production_bioernergies,0
2015,53,Bretagne,Production_bioernergies,0
2015,24,Centre-Val de Loire,Production_bioernergies,0
2015,44,Grand-Est,Production_bioernergies,0
2015,32,Hauts-de-France,Production_bioernergies,0
2015,11,Ile-de-France,Production_bioernergies,1
2015,28,Normandie,Production_bioernergies,0
2015,75,Nouvelle-Aquitaine,Production_bioernergies,1
2015,76,Occitanie,Production_bioernergies,0
2015,93,PACA,Production_bioernergies,0
2015,52,Pays-de-la-Loire,Production_bioernergies,0
2016,84,Auvergne-Rhône-Alpes,Production_bioernergies,0
2016,27,Bourgogne-Franche-Comté,Production_bioernergies,0
2016,53,Bretagne,Production_bioernergies,0
2016,24,Centre-Val de Loire,Production_bioernergies,0
2016,44,Grand-Est,Production_bioernergies,0
2016,32,Hauts-de-France,Production_bioernergies,0
2016,11,Ile-de-France,Production_bioernergies,1
2016,28,Normandie,Production_bioernergies,0
2016,75,Nouvelle-Aquitaine,Production_bioernergies,1
2016,76,Occitanie,Production_bioernergies,0
2016,93,PACA,Production_bioernergies,0
2016,52,Pays-de-la-Loire,Production_bioernergies,0
2017,84,Auvergne-Rhône-Alpes,Production_bioernergies,0
2017,27,Bourgogne-Franche-Comté,Production_bioernergies,0
2017,53,Bretagne,Production_bioernergies,0
2017,24,Centre-Val de Loire,Production_bioernergies,0
2017,44,Grand-Est,Production_bioernergies,0
2017,32,Hauts-de-France,Production_bioernergies,1
2017,11,Ile-de-France,Production_bioernergies,1
2017,28,Normandie,Production_bioernergies,0
2017,75,Nouvelle-Aquitaine,Production_bioernergies,1
2017,76,Occitanie,Production_bioernergies,0
2017,93,PACA,Production_bioernergies,1
2017,52,Pays-de-la-Loire,Production_bioernergies,0
2013,84,Auvergne-Rhône-Alpes,Production_nucleaire,88
2013,27,Bourgogne-Franche-Comté,Production_nucleaire,0
2013,53,Bretagne,Production_nucleaire,0
2013,24,Centre-Val de Loire,Production_nucleaire,68
2013,44,Grand-Est,Production_nucleaire,78
2013,32,Hauts-de-France,Production_nucleaire,35
2013,11,Ile-de-France,Production_nucleaire,0
2013,28,Normandie,Production_nucleaire,72
2013,75,Nouvelle-Aquitaine,Production_nucleaire,41
2013,76,Occitanie,Production_nucleaire,19
2013,93,PACA,Production_nucleaire,0
2013,52,Pays-de-la-Loire,Production_nucleaire,0
2014,84,Auvergne-Rhône-Alpes,Production_nucleaire,87
2014,27,Bourgogne-Franche-Comté,Production_nucleaire,0
2014,53,Bretagne,Production_nucleaire,0
2014,24,Centre-Val de Loire,Production_nucleaire,77
2014,44,Grand-Est,Production_nucleaire,85
2014,32,Hauts-de-France,Production_nucleaire,34
2014,11,Ile-de-France,Production_nucleaire,0
2014,28,Normandie,Production_nucleaire,72
2014,75,Nouvelle-Aquitaine,Production_nucleaire,42
2014,76,Occitanie,Production_nucleaire,14
2014,93,PACA,Production_nucleaire,0
2014,52,Pays-de-la-Loire,Production_nucleaire,0
2015,84,Auvergne-Rhône-Alpes,Production_nucleaire,90
2015,27,Bourgogne-Franche-Comté,Production_nucleaire,0
2015,53,Bretagne,Production_nucleaire,0
